Time[s],Packet ID,Address,Read/Write,Data
17.3317608400,1546,0x52,W,0x01 0xFC
17.3318957750,1546,0x53,R,0xFF 0x94 0x40 0x42
17.3378961750,1546,0x53,R,0xFF
17.3437629650,1547,0x52,W,0x02 0x1C
17.3438978850,1547,0x53,R,0xFF 0x94 0x40 0x43 0x6A 0xFF
17.3707768750,1548,0x52,W,0x00 0x0C
17.3709113700,1548,0x53,R,0xFF
17.3768137550,1549,0x52,W,0x02 0x3C
17.3769485750,1549,0x53,R,0xFF
17.3977719000,1550,0x52,W,0x02 0x3C
17.3979065150,1550,0x53,R,0xFF
17.6047667750,1551,0x52,W,0xC0 0x23
17.6049015950,1551,0x53,R,0xFF
17.6107661150,1552,0x52,W,0x01 0xDC 0xA9 0xFF
17.6227635400,1553,0x52,W,0x00 0x0A
17.6228982550,1553,0x53,R,0xFF
17.6287752650,1554,0x52,W,0x01 0xFC
17.6289097550,1554,0x53,R,0xFF
17.6407754450,1555,0x52,W,0x00 0x0B
17.6409101500,1555,0x53,R,0xFF
17.6467640200,1556,0x52,W,0x02 0x1C
17.6468990500,1556,0x53,R,0xFF
17.6587662300,1557,0x52,W,0x00 0x0C
17.6589006100,1557,0x53,R,0xFF
17.6798160050,1558,0x52,W,0x00 0x0C
17.6799509250,1558,0x53,R,0xFF
17.6857648900,1559,0x52,W,0x02 0x3C 0xA9 0xFF
17.7067645250,1560,0x52,W,0x02 0x3C
17.7068993550,1560,0x53,R,0xFF
17.7127642000,1561,0x52,W,0x04 0x0A
17.7128988050,1561,0x53,R,0xFF
17.7237802000,1562,0x52,W,0x04 0x0A
17.7239151400,1562,0x53,R,0xFF
17.7347641200,1563,0x52,W,0x04 0x0A
17.7348988350,1563,0x53,R,0xFF
17.7518057150,1564,0x52,W,0x00 0x1A
17.7519403200,1564,0x53,R,0xFF
17.7577794750,1565,0x52,W,0x01 0xDC
17.7579143800,1565,0x53,R,0xFF
17.7637942800,1566,0x52,W,0x00 0x0A
17.7639288700,1566,0x53,R,0xFF
17.7697827500,1567,0x52,W,0x01 0xFC
17.7699172550,1567,0x53,R,0xFF
17.7757667300,1568,0x51,R,0x80 0x85
17.7759015450,1568,0x53,R,0xFF
17.7818288000,1569,0x52,W,0x02 0x1C
17.7819634100,1569,0x53,R,0xFF
17.7877652200,1570,0x52,W,0x00 0x0C 0xA9 0xFF
17.8087650700,1571,0x52,W,0x00 0x0C
17.8088997800,1571,0x53,R,0xFF
17.8147650500,1572,0x52,W,0x02 0x3C
17.8148996700,1572,0x53,R,0xFF
17.8357637500,1573,0x53,R,0x81 0x9E 0xD4 0xFF
18.0427662700,1574,0x52,W,0x00 0x1A
18.0429009850,1574,0x53,R,0xFF
18.0490143650,1575,0x52,W,0x01 0xDC
18.0491489700,1575,0x53,R,0xFF
18.0607850400,1576,0x52,W,0x80 0x42
18.0609195050,1576,0x53,R,0xFF
18.0667776450,1577,0x52,W,0x01 0xFC
18.0669122400,1577,0x53,R,0xFF
18.0787773000,1578,0x52,W,0x00 0x0B
18.0789122400,1578,0x53,R,0xFF
18.0848192100,1579,0x52,W,0x02 0x1C
18.0849541450,1579,0x53,R,0xFF
18.0967677700,1580,0x52,W,0x00 0x0C
18.0969029050,1580,0x53,R,0xFF
18.1177660150,1581,0x52,W,0x00 0x0C
18.1179005100,1581,0x53,R,0xFF
18.1237655850,1582,0x52,W,0x02 0x3C
18.1239004000,1582,0x53,R,0xFF
18.1447671450,1583,0x52,W,0x02 0x3C
18.1449019600,1583,0x53,R,0xFF
18.1507660500,1584,0x52,W,0x04 0x0A 0xA9 0xFF
18.1617815400,1585,0x52,W,0x04 0x0A
18.1619162550,1585,0x53,R,0xFF
18.1727652200,1586,0x52,W,0x04 0x0A
18.1728999500,1586,0x53,R,0xFF
18.1897691850,1587,0x52,W,0x00 0x1A
18.1899038850,1587,0x53,R,0xFF
18.1957670300,1588,0x52,W,0x00 0xEE
18.1959020550,1588,0x53,R,0xFF
18.2017652000,1589,0x52,W,0x00 0x0A
18.2018999200,1589,0x53,R,0xFF
18.2077645500,1590,0x52,W,0x01 0xFC
18.2078994750,1590,0x53,R,0xFF
18.2137745700,1591,0x52,W,0x00 0x0B
18.2139091750,1591,0x53,R,0xFF
18.2197667750,1592,0x52,W,0x02 0x1C
18.2199012750,1592,0x53,R,0xFF
18.2257670800,1593,0x52,W,0x00 0x0C
18.2259018800,1593,0x53,R,0xFF
18.2467679850,1594,0x52,W,0x00 0x0C
18.2469028150,1594,0x53,R,0xFF
18.2527795000,1595,0x52,W,0x02 0x3C
18.2529144250,1595,0x53,R,0xFF
18.2737653700,1596,0x52,W,0x02 0x3C
18.2739005200,1596,0x53,R,0xFF
18.4807704800,1597,0x52,W,0x00 0x1A
18.4809054100,1597,0x53,R,0xFF
18.4867683400,1598,0x52,W,0x01 0xDC
18.4869030500,1598,0x53,R,0xFF
18.4987691550,1599,0x52,W,0x00 0x0A
18.4989039850,1599,0x53,R,0xFF
18.5047682100,1600,0x52,W,0x01 0xFC
18.5049030200,1600,0x53,R,0xFF
